domain,workload,Identity,H2,Wavelet,GreedyH,HB,PMM
128.0,permuted-range,6.58280588604,29.880200024,22.2026661986,6.40983795746,6.58280588604,4.75343539096
128.0,prefix,8.0311892021,7.94771096287,7.90396459063,5.3364871764,8.0311892021,4.4501597635
128.0,all-range,6.58280588604,9.68807426921,8.77173725755,5.52755451209,6.58280588604,4.75401217026
256.0,permuted-range,9.2736184955,46.8432941267,34.7112539206,9.205560063,13.0675645777,5.70063010464
256.0,prefix,11.3357840488,9.30671181592,9.25517911518,6.45711885799,6.34312967845,5.19885321433
256.0,all-range,9.2736184955,11.5060919894,10.5150399586,6.87483679774,6.2938641568,5.70418321775
512.0,permuted-range,13.089435944,73.9704643135,54.636039231,12.0236944503,18.5422948456,6.77846552966
512.0,prefix,16.015617378,10.7338842261,10.6764501368,8.43009166375,7.61066174617,5.96727819759
512.0,all-range,13.089435944,13.4237957802,12.3682247993,8.44380198878,7.57086877953,6.77303835722
1024.0,permuted-range,18.4932420089,111.367655388,82.7768881089,16.931527521,26.2122767959,7.83229835133
1024.0,prefix,22.6384628453,12.2256051773,12.1633870177,10.1258761866,9.0987844676,6.77408834776
1024.0,all-range,18.4932420089,15.4361355272,14.3229155497,10.3910181686,9.0632596529,7.8379610521
2048.0,permuted-range,26.1406452356,172.902867492,128.178331675,22.9490785804,36.9854818873,8.95276373872
2048.0,prefix,32.0078115466,13.7789190191,13.7125912965,13.1280550356,10.8879613124,7.65867864327
2048.0,all-range,26.1406452356,17.5389635233,16.3728526217,12.5413028782,10.8366143778,8.92502888252
4096.0,permuted-range,36.9594372252,264.661900609,196.164716275,32.3676249245,76.2481491384,10.1603532226
4096.0,prefix,45.2603579305,15.3913347962,15.3213202181,15.8398201073,10.5458183995,8.62572148425
4096.0,all-range,36.9594372252,19.7286939867,18.5131224112,15.7042103554,11.444834028,10.167104792
8192.0,permuted-range,52.2621596696,403.57277116,299.025717534,44.1701280273,108.065087203,11.5682403516
8192.0,prefix,64.0039061308,17.0606968713,16.9872752015,20.9574068464,12.0341694677,10.0047757397
8192.0,all-range,52.2621596696,22.002137744,20.7396971068,19.3488923098,12.9766037442,11.5769025136
