,trial,scale,domain,GreedyH,Opt
0,0.0,1000.0,256.0,12.8609428969,9.06063503767
1,1.0,1000.0,256.0,7.30762842867,6.72758699699
2,2.0,1000.0,256.0,10.9325955335,6.14113310704
3,3.0,1000.0,256.0,7.46133865511,5.21034539213
4,4.0,1000.0,256.0,6.40408282319,7.96628401252
5,5.0,1000.0,256.0,11.1514131644,5.73898279888
6,6.0,1000.0,256.0,8.2807312576,6.95997893756
7,7.0,1000.0,256.0,6.16372287129,8.10796341595
8,8.0,1000.0,256.0,13.3646020714,7.36488406327
9,9.0,1000.0,256.0,5.63001227303,9.7572236046
10,0.0,1000.0,512.0,7.64394152503,5.22431295371
11,1.0,1000.0,512.0,12.8543014763,6.53483361757
12,2.0,1000.0,512.0,8.42514328391,5.3851415642
13,3.0,1000.0,512.0,10.1595746155,4.32934199612
14,4.0,1000.0,512.0,6.41347176511,7.93877144094
15,5.0,1000.0,512.0,9.31011489061,5.42062601852
16,6.0,1000.0,512.0,5.5192230213,8.31990360709
17,7.0,1000.0,512.0,10.6036488928,6.18942604725
18,8.0,1000.0,512.0,12.8723846493,6.11776190595
19,9.0,1000.0,512.0,6.03445700953,6.48832560102
20,0.0,1000.0,1024.0,5.85270602609,10.4916983164
21,1.0,1000.0,1024.0,10.9601816033,4.82321796018
22,2.0,1000.0,1024.0,7.26785394974,7.64322495572
23,3.0,1000.0,1024.0,8.2104663896,4.28902551027
24,4.0,1000.0,1024.0,7.23469540664,9.85771261991
25,5.0,1000.0,1024.0,10.4337641298,10.12677929
26,6.0,1000.0,1024.0,6.28489581141,5.87520745765
27,7.0,1000.0,1024.0,8.62040937105,8.33821542386
28,8.0,1000.0,1024.0,15.2680551919,11.9676454478
29,9.0,1000.0,1024.0,9.08855312071,9.23289210213
30,0.0,1000.0,2048.0,6.43156003573,12.178260107
31,1.0,1000.0,2048.0,12.2968478122,16.4631358639
32,2.0,1000.0,2048.0,8.09926885969,7.49342272309
33,3.0,1000.0,2048.0,12.7362978651,8.71412550538
34,4.0,1000.0,2048.0,7.17349829552,7.69029178364
35,5.0,1000.0,2048.0,13.2665453882,7.39310353308
36,6.0,1000.0,2048.0,12.9029757552,8.08205595519
37,7.0,1000.0,2048.0,8.6315416517,6.25219451739
38,8.0,1000.0,2048.0,10.8408915644,4.6922903169
39,9.0,1000.0,2048.0,9.33534681669,6.11230438654
40,0.0,10000.0,256.0,8.81974056867,6.78703780633
41,1.0,10000.0,256.0,20.5234506622,5.93715520187
42,2.0,10000.0,256.0,9.57673385944,7.22875032909
43,3.0,10000.0,256.0,13.9322965737,7.43569198893
44,4.0,10000.0,256.0,11.2085729355,7.61419468182
45,5.0,10000.0,256.0,19.1442822315,6.87171712063
46,6.0,10000.0,256.0,16.3856467862,9.68019472953
47,7.0,10000.0,256.0,12.5167329121,15.1761696976
48,8.0,10000.0,256.0,9.15190949544,8.08928018595
49,9.0,10000.0,256.0,15.3374064328,6.60026038074
50,0.0,10000.0,512.0,12.964966196,11.5414125289
51,1.0,10000.0,512.0,9.86412333219,10.3889354498
52,2.0,10000.0,512.0,7.41630548334,12.1402582842
53,3.0,10000.0,512.0,9.138741267,10.3297922101
54,4.0,10000.0,512.0,8.2819325576,8.61385841302
55,5.0,10000.0,512.0,20.6804998398,7.55529398459
56,6.0,10000.0,512.0,7.8161719765,8.13820391867
57,7.0,10000.0,512.0,10.1755933447,13.6890991206
58,8.0,10000.0,512.0,9.15367246774,8.30773899863
59,9.0,10000.0,512.0,8.90016597066,7.31712042443
60,0.0,10000.0,1024.0,26.9758344851,7.10294372214
61,1.0,10000.0,1024.0,7.79462352602,9.53985517906
62,2.0,10000.0,1024.0,9.13470357251,6.86853623977
63,3.0,10000.0,1024.0,12.3863333928,9.8492465456
64,4.0,10000.0,1024.0,9.50032548642,11.7247868505
65,5.0,10000.0,1024.0,33.772233372,13.4151642319
66,6.0,10000.0,1024.0,13.8444149323,8.78609141947
67,7.0,10000.0,1024.0,11.1835573817,11.0093634082
68,8.0,10000.0,1024.0,17.3559262462,7.59704759144
69,9.0,10000.0,1024.0,12.864319068,11.0382212073
70,0.0,10000.0,2048.0,10.323151744,8.45733299983
71,1.0,10000.0,2048.0,12.1233989649,16.5964515585
72,2.0,10000.0,2048.0,12.3745185499,9.58691949341
73,3.0,10000.0,2048.0,10.8694293016,11.0158839898
74,4.0,10000.0,2048.0,16.8612016636,15.2017144595
75,5.0,10000.0,2048.0,12.0364283946,8.46200319206
76,6.0,10000.0,2048.0,14.4561476406,9.82098255437
77,7.0,10000.0,2048.0,9.24507632452,10.251264948
78,8.0,10000.0,2048.0,9.19582563564,10.7510060722
79,9.0,10000.0,2048.0,14.3851952021,10.7771914903
80,0.0,100000.0,256.0,10.1943002857,8.30219024916
81,1.0,100000.0,256.0,10.5326438744,9.91979764174
82,2.0,100000.0,256.0,6.89637636914,8.3477783554
83,3.0,100000.0,256.0,8.81511051995,7.79666234915
84,4.0,100000.0,256.0,10.7341796438,9.70495002076
85,5.0,100000.0,256.0,22.5153249691,7.62339344074
86,6.0,100000.0,256.0,7.03261520397,10.1592837628
87,7.0,100000.0,256.0,10.068960713,9.21662071279
88,8.0,100000.0,256.0,9.97512921802,10.3256641506
89,9.0,100000.0,256.0,13.938733306,10.3995664895
90,0.0,100000.0,512.0,10.0423119334,11.9662107433
91,1.0,100000.0,512.0,16.2556933391,14.3220431052
92,2.0,100000.0,512.0,7.34278238106,7.46072653068
93,3.0,100000.0,512.0,16.0227554556,10.5090134481
94,4.0,100000.0,512.0,8.97025954143,8.73591572232
95,5.0,100000.0,512.0,32.4180928031,8.08448031476
96,6.0,100000.0,512.0,9.81155716003,10.0070954006
97,7.0,100000.0,512.0,14.0166594469,8.29326193131
98,8.0,100000.0,512.0,14.8230104561,11.5274635717
99,9.0,100000.0,512.0,9.35744178291,10.6240246219
100,0.0,100000.0,1024.0,7.78573660702,9.43994360388
101,1.0,100000.0,1024.0,17.7759566071,11.4550434396
102,2.0,100000.0,1024.0,12.8062677384,11.0820951104
103,3.0,100000.0,1024.0,10.634331329,16.0328225409
104,4.0,100000.0,1024.0,20.910063714,14.9973072132
105,5.0,100000.0,1024.0,33.3887034723,13.3388908547
106,6.0,100000.0,1024.0,12.5018214512,15.4524657542
107,7.0,100000.0,1024.0,12.0292111346,9.90211571552
108,8.0,100000.0,1024.0,16.6588179258,10.0262026024
109,9.0,100000.0,1024.0,14.5965728031,11.4334656242
110,0.0,100000.0,2048.0,10.3223610894,14.8112504235
111,1.0,100000.0,2048.0,19.8916088116,11.4665561298
112,2.0,100000.0,2048.0,53.6328007905,10.008216971
113,3.0,100000.0,2048.0,32.2117361524,12.380435473
114,4.0,100000.0,2048.0,26.4160061108,11.0454657129
115,5.0,100000.0,2048.0,26.1995780761,13.7477321653
116,6.0,100000.0,2048.0,19.7990262306,14.9996556291
117,7.0,100000.0,2048.0,41.4265131236,13.5007578417
118,8.0,100000.0,2048.0,22.6955459324,11.7339178008
119,9.0,100000.0,2048.0,15.6956919715,12.1298315773
120,0.0,1000000.0,256.0,7.24890450604,10.0098591817
121,1.0,1000000.0,256.0,11.3575824241,8.14146107664
122,2.0,1000000.0,256.0,9.52291282335,14.8135804587
123,3.0,1000000.0,256.0,7.07259614424,11.0838890574
124,4.0,1000000.0,256.0,7.68815127496,7.75917338944
125,5.0,1000000.0,256.0,17.3545052842,13.1815335037
126,6.0,1000000.0,256.0,6.06750398042,8.34939363654
127,7.0,1000000.0,256.0,9.98335930549,10.0360821583
128,8.0,1000000.0,256.0,10.1137264788,7.82330144816
129,9.0,1000000.0,256.0,10.3005236092,11.0727113797
130,0.0,1000000.0,512.0,10.2993216281,8.63856025486
131,1.0,1000000.0,512.0,12.522951968,14.7040859332
132,2.0,1000000.0,512.0,7.80173265906,8.63337824493
133,3.0,1000000.0,512.0,11.4799272888,8.20196326169
134,4.0,1000000.0,512.0,13.2820558013,9.23543896681
135,5.0,1000000.0,512.0,30.2722302433,8.58964910515
136,6.0,1000000.0,512.0,16.9100515017,21.5482504462
137,7.0,1000000.0,512.0,12.2483444968,10.3400098473
138,8.0,1000000.0,512.0,16.4098508066,9.13986690726
139,9.0,1000000.0,512.0,11.7462366657,9.89529101226
140,0.0,1000000.0,1024.0,13.1762003123,10.2015285856
141,1.0,1000000.0,1024.0,20.7856407638,11.5858271239
142,2.0,1000000.0,1024.0,9.9371450266,16.5016166831
143,3.0,1000000.0,1024.0,11.0121726794,12.2779463314
144,4.0,1000000.0,1024.0,16.8908770829,13.2795942358
145,5.0,1000000.0,1024.0,21.3299282692,12.5500013365
146,6.0,1000000.0,1024.0,13.0752535949,11.7779532032
147,7.0,1000000.0,1024.0,22.8445594278,13.332331793
148,8.0,1000000.0,1024.0,12.994916374,21.241139225
149,9.0,1000000.0,1024.0,14.9514402946,15.6929764011
150,0.0,1000000.0,2048.0,8.89425638317,11.1489984764
151,1.0,1000000.0,2048.0,19.7745850375,11.7081406795
152,2.0,1000000.0,2048.0,12.8552807053,15.2531318712
153,3.0,1000000.0,2048.0,13.4057383119,11.2989654615
154,4.0,1000000.0,2048.0,18.9112027348,10.7670399545
155,5.0,1000000.0,2048.0,33.5933738178,22.5145621215
156,6.0,1000000.0,2048.0,16.9231340727,19.5602863972
157,7.0,1000000.0,2048.0,24.0985572674,16.284402897
158,8.0,1000000.0,2048.0,20.3647780661,11.7986470975
159,9.0,1000000.0,2048.0,26.2971041974,11.4461327976
