p,1D Marginal,2D Prefix,All Range,Prefix
0.0,1.15038735848,1.44347605539,1.6252429736,2.18364920119
1.0,1.00000013853,1.03572073294,1.28482219249,1.31496320332
2.0,1.0,1.0,1.16515499701,1.15314864784
4.0,1.15038735848,1.03572093509,1.06524272446,1.05657118494
8.0,1.15038735848,1.00619159086,1.00781260017,1.0102247181
16.0,1.15038735848,1.00001316576,1.0,1.0
32.0,1.15038735848,1.00009829583,1.00260711936,1.00404925229
64.0,1.15038735848,1.00419082204,1.00974701154,1.01885939068
128.0,1.03117872279,1.03914043721,1.02974012749,1.03375550267
256.0,3.43551616228,8.79468808223,2.26493014286,2.83264965648
