domain,trial,error,time
64,0,3.94079068344,0.0262467861176
64,1,3.95245340879,0.0171339511871
64,2,3.95016380812,0.014965057373
64,3,4.69339938922,0.00362205505371
64,4,3.92761953393,0.0165491104126
128,0,4.76701704573,0.0299570560455
128,1,4.77088218929,0.017590045929
128,2,4.76596877049,0.0364229679108
128,3,4.75539620903,0.0238687992096
128,4,4.7575136038,0.0195457935333
256,0,5.74667592806,0.20486998558
256,1,5.74080621555,0.148562192917
256,2,5.71358486169,0.117376089096
256,3,5.73193576956,0.235217094421
256,4,5.71348032552,0.196537017822
512,0,6.79082524775,1.38501691818
512,1,6.80268194611,1.26532316208
512,2,6.79570838224,1.42499399185
512,3,6.81071891477,1.34471297264
512,4,6.80483039042,1.1623840332
1024,0,7.88933265345,10.43551898
1024,1,7.84324265736,14.814399004
1024,2,7.83748113479,14.2433009148
1024,3,7.84233844736,10.8751091957
1024,4,7.90459189189,10.7374019623
2048,0,9.01602945573,88.9615578651
2048,1,8.98968397263,96.143501997
2048,2,8.94523797979,95.0226140022
2048,3,8.98707513639,86.6149790287
2048,4,8.96670004703,92.7618000507
4096,0,10.197806818,548.68804121
4096,1,10.1516375609,547.93727994
4096,2,10.2419415353,530.316056013
4096,3,10.1610299515,525.548661947
4096,4,10.1950883564,522.001542091
8192,0,11.6077388689,4223.00245595
8192,1,11.5765643866,4332.6280632
8192,2,11.6144626222,4058.90387011
8192,3,11.7211963368,4325.21048284
8192,4,11.6255102311,3908.17825103
